koc_id,high_or_low,cat,follower_count,anxiety_score,view,like,collect,comments,share,is_commercial,quote_video,video_cpe,video_cpm,quote_post,post_cpe,post_cpm,ces_total,ces_per_1000_view,weighted_engagement_per_view,high_weight_engagement_ratio,like_rate,collect_rate,comment_rate,share_rate,interaction_rate,deep_demand_ratio,note_quote,ces_unit_price,ad_value_per_1000_view,video_cpe_calc,video_cpm_calc,post_cpe_calc,post_cpm_calc,commercial_traffic_drop_pct,collect_like_ratio,dbscan_label
420496627,low,budy_building,50700,0,4609000,363000,8927,4163,20000,0,7000.0,0.11,9.07,4500.0,9.72,828.42,468579,101.666088,0.10166609,0.06100381,0.07875895,0.00193686,0.00090323,0.00433934,0.08593838,0.03304804,7000.0,0.01493878,1.518768,0.17520674,15.061699,0.11263291,9.682521,99.4006,0.02459228650137741,-1
jgai001,high,job_hunting,98800,3,3452000,158000,169000,1034,11000,0,20000.0,0.47,40.98,16000.0,57.76,5522.95,375136,108.672074,0.10867207,0.03549497,0.04577057,0.04895713,0.00029954,0.00318656,0.09821379,0.50152492,20000.0,0.053314,5.793743,0.56511862,51.177741,0.45209489,40.942192,86.986,1.0696202531645569,-1
638217797,low,make_up,13400,0,1296000,53000,44000,444,2979,1,1200.0,0.11,8.06,900.0,0.0,0.0,110692,85.410494,0.08541049,0.03408582,0.04089506,0.03395062,0.00034259,0.00229861,0.07748688,0.44256794,1200.0,0.01084089,0.925926,0.10492537,8.062002,0.07869403,6.046502,-2258.0676,0.8301886792452831,-1
119383142,high,study,11600,5,621000,37000,20000,576,1724,0,3090.0,10.92,1044.62,1000.0,0.14,12.53,66200,106.602254,0.10660225,0.03878583,0.05958132,0.03220612,0.00092754,0.00277617,0.09549114,0.34698145,3090.0,0.04667674,4.975845,0.38269571,36.188433,0.12384975,11.711467,97.0272,0.5405405405405406,-1
465319795,low,make_up,92300,1,471000,10000,29000,30,3445,0,6800.0,1.02,84.12,5200.0,0.0,0.0,52900,112.314225,0.11231423,0.08181283,0.02123142,0.06157113,6.369e-05,0.00731423,0.09018047,0.68346086,6800.0,0.12854442,14.437367,1.04461104,93.310591,0.7988202,71.355158,-169.6394,2.9,-1
Evenbetter001,high,job_hunting,48400,5,380000,19000,11000,413,2355,0,3000.0,0.64,49.5,3000.0,0.0,0.0,41072,108.084211,0.10808421,0.08447266,0.05,0.02894737,0.00108684,0.00619737,0.08623158,0.34829712,3000.0,0.07304246,7.894737,0.65365173,54.694721,0.65365173,54.694721,100.0,0.5789473684210527,-1
945924693,low,budy_building,85700,3,253000,16000,4742,205,1128,1,980.0,0.23,26.81,714.0,0.66,70.31,26074,103.059289,0.10305929,0.06038505,0.06324111,0.01874308,0.00081028,0.0044585,0.08725296,0.22409966,980.0,0.03758533,3.873518,0.3164557,27.736111,0.23056058,20.207738,-922.6956,0.296375,-1
GDDXCCB778,low,budy_building,51300,1,193000,25000,1978,1530,3815,0,0.0,,,431.0,0.0,0.0,48358,250.559585,0.25055959,0.16536213,0.12953368,0.0102487,0.00792746,0.01976684,0.16747668,0.10852953,431.0,0.00891269,2.233161,0.0,0.0,0.06772044,9.8118,78.9104,0.07912,-1
GDDXCCB778,low,budy_building,51300,1,181000,17000,1629,825,2042,0,0.0,,,431.0,0.0,0.0,30097,166.281768,0.16628177,0.13337365,0.09392265,0.009,0.00455801,0.01128177,0.11876243,0.11416077,431.0,0.01432036,2.381215,0.0,0.0,0.06772044,9.8118,78.9104,0.09582352941176471,-1
465319795,low,make_up,92300,1,168000,5104,7522,169,1357,1,6800.0,1.02,84.12,5200.0,0.0,0.0,18730,111.488095,0.1114881,0.10782928,0.03038095,0.04477381,0.00100595,0.00807738,0.0842381,0.54345676,6800.0,0.36305392,40.47619,1.04461104,93.310591,0.7988202,71.355158,-169.6394,1.473746081504702,-1
638217797,low,make_up,13400,1,154000,4903,6753,90,162,1,1200.0,0.11,8.06,900.0,0.0,0.0,12664,82.233766,0.08223377,0.02116224,0.03183766,0.04385065,0.00058442,0.00105195,0.07732468,0.57465569,1200.0,0.09475679,7.792208,0.10492537,8.062002,0.07869403,6.046502,-2258.0676,1.3773200081582704,-1
277338406,high,job_hunting,91200,0,113000,1391,326,414,64,0,35000.0,15.46,987.94,28000.0,19.46,1227.37,3629,32.115044,0.03211504,0.21776765,0.01230973,0.00288496,0.00366372,0.00056637,0.01942478,0.33712984,35000.0,9.64453017,309.734513,17.71075802,1183.167915,14.16860642,946.534332,91.7795,0.23436376707404744,-1
277338406,high,job_hunting,91200,3,106000,5469,4277,76,306,0,35000.0,15.46,987.94,28000.0,19.46,1227.37,11274,106.358491,0.10635849,0.03771722,0.05159434,0.04034906,0.00071698,0.00288679,0.09554717,0.42979858,35000.0,3.1044882,330.188679,17.71075802,1183.167915,14.16860642,946.534332,91.7795,0.7820442494057415,-1
FitMoMo,low,budy_building,220000,3,58000,1619,1329,38,814,1,18000.0,21.9,1453.75,9000.0,0.0,0.0,6356,109.586207,0.10958621,0.22421053,0.02791379,0.02291379,0.00065517,0.01403448,0.06551724,0.35973684,18000.0,2.83196979,310.344828,19.05165114,1457.973902,9.52582557,728.986951,-306.1216,0.8208770846201359,-1
