term,coef,se_white_hc1,t,p,ci_low_95,ci_high_95,stars
const,8.910002286511894e-13,3.5474404193694804e-12,0.25116707352890655,0.8018172223422537,-6.083499394727399e-12,7.865499852029778e-12,
like,1.000000000000002,2.1732440372021954e-15,460141605306042.06,0.0,0.9999999999999978,1.0000000000000062,***
collect,0.9999999999999918,4.1000848595960804e-15,243897390967294.94,0.0,0.9999999999999837,0.9999999999999999,***
comments,3.9999999999999925,9.97924438364844e-15,400831951420512.4,0.0,3.999999999999973,4.000000000000012,***
share,3.9999999999999982,3.14586718178913e-14,127150949765307.72,0.0,3.9999999999999365,4.00000000000006,***
like_x_high_anx,-3.1682042356482894e-14,1.216989446559755e-14,-2.6033128262568943,0.009585066163923184,-5.560884995088743e-14,-7.755234762078361e-15,***
collect_x_high_anx,4.100341390015148e-14,1.3093760865780944e-14,3.131523045247393,0.0018701690257973969,1.5260224605592427e-14,6.674660319471054e-14,***
comments_x_high_anx,-1.1961688199722308e-15,1.6295379973424935e-13,-0.007340539600322202,0.9941469027019576,-3.215739850812631e-13,3.191816474413186e-13,
share_x_high_anx,-3.597372360082603e-15,8.920232020134746e-14,-0.04032823756111517,0.9678520783355995,-1.7897496157957205e-13,1.7178021685940682e-13,
is_commercial_1,3.0226203429546846e-13,5.721749931525531e-12,0.05282685155988274,0.9578969148786669,-1.0947072140451348e-11,1.1551596209042286e-11,
