variable,mean,std,min,max,n,n_zero,n_negative
anxiety_score,2.035,1.5811467555722465,0.0,5.0,400,66,0
view,60635.0375,307481.14823982015,8.0,4609000.0,400,0,0
ces_total,6033.0025,31233.455114323162,5.0,468579.0,400,0,0
ces_per_1000_view,150.84947572,193.50379439621392,3.846154,2502.145923,400,0,0
interaction_rate,0.12004717992500001,0.13541249221363766,0.00330709,1.72203157,400,0,0
collect_rate,0.032013499,0.05053875929818156,0.0,0.70006863,400,3,0
note_quote,9332.6,6848.7010414302085,431.0,35000.0,400,0,0
video_cpe_calc,5.25388239625,7.017073165607678,0.0,31.50598614,400,10,0
video_cpm_calc,462.11348780000003,566.5349116374632,0.0,2236.536053,400,10,0
commercial_traffic_drop_pct,-121.23763249999998,415.83299272413313,-2258.0676,100.0,400,20,150
